#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-14.994682,5,0.04794
-9.997959,3,0.053941
-14.971641,4,0.05994
-9.989404,3,0.06494
-14.976244,4,0.069981
-9.986609,5,0.077982
-9.966516,2,0.082045
-14.998489,6,0.091001
-9.995339,3,0.096602
-9.967983,4,0.102602
-9.967985,3,0.10716
-9.996731,3,0.112126
-9.967985,3,0.116872
-9.965884,3,0.120727
-19.984654,5,0.131778
-14.999688,8,0.143319
-14.995583,6,0.153649
-9.996379,5,0.161298
-9.997577,5,0.169338
-19.999767,8,0.180365
-14.959696,7,0.190445
-9.999853,3,0.198445
-19.996315,7,0.223639
-14.99343,5,0.232632
-6.05057,8,0.477579
-9.967985,2,0.480749
-14.998947,5,0.488621
-9.96793,4,0.495671
-9.991121,6,0.504797
-14.99339,6,0.513835
-9.962391,5,0.520922
-9.967516,4,0.533989
-9.964356,3,0.542066
-9.998532,5,0.557067
-14.895874,5,0.570067
-19.981958,6,0.583068
-9.967391,4,0.592066
-9.95912,3,0.599067
-9.966378,5,0.607066
-9.966158,7,0.622066
-9.959424,3,0.629067
-9.994836,5,0.638067
-14.964182,4,0.645066
-9.971336,4,0.653067
-9.996531,4,0.660065
-9.987885,4,0.671066
-9.965915,5,0.681066
-14.992678,5,0.691067
-9.963717,4,0.700116
-9.996503,3,0.704129
-9.952396,5,0.713833
-14.971752,5,0.721959
-19.980644,5,0.733013
-9.96682,3,0.739547
-9.996896,3,0.745576
-14.9631,7,0.757154
-14.99625,6,0.766592
-9.970685,6,0.775253
-19.916078,6,0.783813
-9.967974,3,0.788897
1.962508,8,0.984998
-9.989804,5,0.993165
-9.999566,3,1.001
-9.995587,3,1.01863
-9.99573,5,1.02868
-9.995562,5,1.037734
-14.99696,5,1.049793
-9.977651,7,1.06502
-9.966506,3,1.07202
-9.956121,4,1.091178
-9.967985,4,1.120272
-9.998962,4,1.131414
-9.988454,4,1.140508
-9.998923,4,1.151513
-9.967985,2,1.155508
-9.973085,4,1.163508
-9.999411,3,1.169507
-9.998114,5,1.179678
-9.997696,4,1.187009
-14.938636,5,1.199018
-9.967985,2,1.206023
-14.972021,6,1.220175
-9.970006,4,1.230123
-9.998185,4,1.236895
-9.978087,3,1.24359
-9.967985,2,1.249591
-9.957421,4,1.256592
-14.993851,5,1.269591
-24.958523,6,1.281329
-9.967985,3,1.288328
-9.995864,6,1.298329
-14.940008,5,1.307407
-19.916077,5,1.315493
-9.9755,3,1.320948
-9.992865,7,1.333494
-9.999959,6,1.343495
-9.999124,3,1.349496
-14.96882,5,1.358495
-9.967985,2,1.364497
-9.969513,3,1.370498
-19.9831,7,1.399412
-9.997729,3,1.405409
-9.963973,4,1.41441
-9.967985,3,1.420953
-14.999221,4,1.427952
-14.976551,8,1.440954
-9.997386,5,1.448954
-14.995744,7,1.459954
-14.996856,5,1.468953
-9.999869,4,1.475952
-19.912172,5,1.484951
-14.992942,6,1.497954
-14.983401,7,1.511952
-14.992329,8,1.524953
-9.998357,5,1.534954
-9.96793,3,1.540953
-14.993824,5,1.55949
-14.980038,7,1.571489
-19.965225,6,1.582489
-19.972023,6,1.592489
-9.967969,4,1.59949
-14.991558,6,1.608489
-9.981887,3,1.615493
-9.924556,5,1.624489
-9.996463,5,1.63449
-14.998129,7,1.64751
-9.996333,3,1.653489
-9.967985,4,1.659491
-14.969613,5,1.668489
-9.957127,5,1.678489
-9.958425,4,1.685489
-9.99308,5,1.69449
-14.962032,5,1.70349
-9.967714,6,1.71549
-9.96403,4,1.72349
-9.996444,5,1.732488
-9.992613,3,1.738491
-19.996241,6,1.74949
-9.961728,5,1.759489
-14.971724,4,1.76749
-9.967983,3,1.773488
-14.986967,7,1.789491
-14.962944,6,1.803487
-9.965048,5,1.825489
