Model Number,Reward,Mean Error,Max Error,Chosen Points
1,7.871698787053551,0.03813896582196309,0.09637760399492423,[-4.23  -0.4600000000000004  3.3099999999999996  8]
2,45.731572391295266,0.006091371972558015,0.031076376368079264,[-5.99  -3.9800000000000004  -1.9700000000000006  0.03999999999999915  2.049999999999999  4.059999999999999  6.469999999999999  8]
3,0.08576172264783612,0.11376583359597119,0.2657815699761893,[1.7100000000000009  8]
4,0.15733179407732997,0.06963874836873288,0.25153066922062683,[-7.16  -6.32  -5.48  -4.640000000000001  -3.8000000000000007  -2.960000000000001  -2.120000000000001  -1.2800000000000011]
5,23.89621577819056,0.014403263160692079,0.05604293734431029,[-2.7300000000000004  2.539999999999999  5.279999999999999  6.789999999999999  8]
6,13.95308788957215,0.024116380711929498,0.07603212766054784,[-2.9800000000000004  2.039999999999999  8]
7,1.2996092976014486,0.03243126643703339,0.17285495451567778,[-6.96  -5.92  -4.88  -3.84  -2.8  -1.7599999999999998  -0.7199999999999998  0.3200000000000003]
8,0.09264879724782053,0.09607348777260552,0.2669861903067662,[4.890000000000001  6.640000000000001  8]
9,0.1856460272884198,0.12056361839561225,0.2319042488805684,[0.5  8]
10,45.12044146107121,0.006475193332188413,0.031540984779086456,[-5.79  -3.58  -1.37  0.8399999999999999  3.05  5.26  6.3  8]
11,34.43076370656624,0.009801316819998698,0.04197549277231938,[-4.74  -1.4800000000000004  1.7799999999999994  5.039999999999999  5.359999999999999  5.539999999999999  5.719999999999999  5.899999999999999]
12,0.12413124835627183,0.10424156230617676,0.2527556929504191,[5.789999999999999  8]
13,17.70509655454452,0.024227173355598316,0.06608144194945975,[-4.46  -0.9199999999999999  2.62  6.16  6.640000000000001  8]
14,0.20100023898419705,0.08574355219306092,0.2372982522823912,[-7.29  -6.58  -5.87  -5.16  -4.45  -3.74  -3.0300000000000002  -2.3200000000000003]
15,0.15786431648006188,0.10765710074512388,0.24188528970293266,[-7.84  -7.68  -7.52  -7.359999999999999  -7.199999999999999  -7.039999999999999  -6.879999999999999  -6.719999999999999]
16,0.20619756248742901,0.11476788272884032,0.22897847575802868,[7.119999999999999  8]
17,0.1600073409759776,0.10904991477995221,0.2409752617087222,[-7.92  -7.84  -7.76  -7.68  -7.6  -7.52  -7.5  -6.6]
18,0.08281950461608184,0.11308646640777653,0.2674059612448668,[1.8000000000000007  8]
19,6.170546636405258,0.043662812714436984,0.10514191166070042,[-4.1  -0.19999999999999973  3.7  8]
