#{"t_start": 1689192164.2901304, "env_id": "None"}
r,l,t
-14.998565,3,0.016811
-14.99274,4,0.020812
-7.069813,8,0.167345
-9.995694,5,0.17134
-9.998897,3,0.173341
-14.993861,5,0.17797
-14.992306,8,0.185972
-9.995637,3,0.188972
-29.993718,8,0.198978
-9.999204,4,0.201972
-9.985339,6,0.208624
-19.997792,6,0.21497
-9.988867,5,0.217988
-9.997607,4,0.220969
-9.994701,3,0.222968
-9.988666,6,0.22804
-9.996518,3,0.231971
-9.989829,4,0.234971
-14.993327,4,0.238049
-9.99906,3,0.239971
-14.9955,6,0.245971
-19.994129,7,0.25097
-9.994227,3,0.252971
-19.995417,5,0.257019
-9.994403,3,0.259001
-9.994204,5,0.262971
-14.991547,7,0.268019
-14.98842,6,0.271971
-14.984345,6,0.278739
-9.997683,4,0.281743
-9.997966,3,0.284742
-9.991248,4,0.287741
-14.990717,5,0.29274
-9.997416,3,0.295808
-14.99371,4,0.29881
-9.994657,4,0.301793
-9.999165,3,0.303793
-9.994655,4,0.30879
-9.999206,3,0.311878
-9.992137,5,0.315793
-14.994252,4,0.321795
-9.998484,3,0.324791
-9.984564,5,0.328012
-14.994373,5,0.33203
-14.998553,4,0.335016
52.689844,8,0.44588
-9.997583,3,0.448839
-19.994095,8,0.453835
-9.999148,3,0.455836
-19.990078,5,0.460837
-9.997448,4,0.464836
-5.44025,8,0.566735
-19.983484,6,0.570735
-9.997208,5,0.574768
-9.998018,3,0.577737
-9.994588,6,0.582735
-14.988374,4,0.584735
-9.986448,5,0.590739
-9.997423,3,0.594343
-9.999846,2,0.595832
-9.995016,3,0.598832
-9.993242,5,0.601831
-9.997752,3,0.604799
-9.989288,7,0.610379
-14.994705,5,0.613408
-9.982508,6,0.61813
-14.991121,7,0.623077
-14.997687,4,0.627617
-9.997453,3,0.629617
-9.991641,4,0.632616
-9.987195,6,0.637726
6.384617,8,0.73578
-19.997027,6,0.739781
-14.988472,4,0.744785
-9.997797,3,0.747785
-14.992291,4,0.750785
-9.990618,3,0.752785
-9.999085,3,0.754785
-9.989262,3,0.757783
-9.991752,6,0.763814
12.367352,8,0.875989
-14.99452,4,0.879987
-24.9873,8,0.885987
-9.996907,3,0.887987
-9.988193,4,0.890987
-9.992726,7,0.897114
-9.995862,3,0.89999
-9.986555,6,0.90399
-19.990244,6,0.90865
-9.99443,5,0.913148
-9.994546,4,0.915987
-14.992587,5,0.919988
-9.993513,6,0.924021
-9.991689,7,0.929969
-14.986451,6,0.934005
-9.994404,3,0.936003
-14.994875,5,0.938969
-14.994818,6,0.943166
-9.999288,2,0.946567
-9.997331,3,0.948602
-9.994033,5,0.951599
-9.989345,6,0.955602
-9.998969,3,0.957602
-9.997014,5,0.963606
-9.999208,3,0.965604
-9.996049,5,0.968602
-9.987689,5,0.971602
-14.997062,4,0.974602
-9.993193,6,0.980146
-9.999288,2,0.982146
-14.98524,5,0.985147
-9.992601,4,0.988147
-9.979392,7,0.99515
-9.988033,5,1.001005
-29.9969,7,1.006004
-14.988673,5,1.013039
-9.993718,6,1.016997
-9.995142,4,1.020066
-9.995309,4,1.023121
-14.995467,5,1.030626
