Model Number,Reward,Mean Error,Max Error,Chosen Points
1,70.05028806025122,0.008170337250492352,0.08694661593847108,[-6.48  -4.960000000000001  -3.440000000000001  -1.9200000000000008  -0.4000000000000008  1.1199999999999992  2.6399999999999992  4.159999999999999  5.68  7.18]
2,54.64447685853383,0.019201521285396376,0.14628012976880192,[-5.9  -3.8000000000000003  -1.7000000000000002  0.3999999999999999  2.5  4.6  8]
3,0.3860656388503829,0.5171011327637003,1.2599542320907933,[-6.02  -4.039999999999999  5.23  8]
4,4.14461824261528,0.2889861531155331,0.7235933373056953,[-2.25  3.5  8]
5,0.03029016814119103,0.8843788617259748,1.804430856793565,[5.75  8]
6,9.90392640782472,0.2361520634838518,0.5190217092851055,[1.1799999999999997  8]
7,0.15853278379246166,0.3718831073647851,1.518770236967192,[-7.66  -7.32  -6.98  -6.640000000000001  -6.300000000000001  -5.960000000000001  -5.620000000000001  3.8599999999999994  3.8799999999999994  4.7299999999999995]
8,7.997455472147491,0.08069488204561921,0.6113379697094781,[-7.7  -7.4  -7.1000000000000005  -6.800000000000001  -1.950000000000001  -1.650000000000001  -1.350000000000001  3.4999999999999987  3.7999999999999985  5.619999999999998]
9,0.3786764503255482,0.5836062781030348,1.2481592598651627,[-3.29  7.89  8]
10,73.50805393359488,0.007098780490008131,0.07516910698865689,[-6.61  -5.220000000000001  -3.830000000000001  -2.4400000000000013  -1.0500000000000014  0.3399999999999985  1.7299999999999984  3.1199999999999983  4.509999999999998  4.709999999999998]
