#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.996836,5,0.024984
-9.978746,5,0.030974
-14.998865,5,0.036176
-9.978221,4,0.039976
-9.998115,5,0.047236
-9.999144,3,0.051237
-9.978796,4,0.057236
-9.984904,4,0.060234
-14.980853,6,0.066984
-14.976117,4,0.071985
-9.950058,6,0.078934
-14.998128,4,0.083933
-14.969049,8,0.092008
-9.99897,3,0.095009
-9.978148,6,0.103007
-9.978908,3,0.106133
-14.993505,4,0.109005
-9.977504,5,0.113853
-9.975175,5,0.120853
-14.992711,6,0.12822
-14.949037,6,0.136163
-9.985198,4,0.139168
-9.997235,3,0.141167
-14.977946,5,0.145171
-9.970752,7,0.154168
-14.997501,7,0.161169
-14.987421,6,0.16922
-9.976987,3,0.17222
-9.978446,5,0.177196
-9.986827,5,0.183195
-9.995142,5,0.188194
-9.995553,4,0.191193
-9.993553,6,0.197196
-14.993527,8,0.205194
-9.979003,3,0.208178
-9.997045,3,0.212251
-19.997077,6,0.217118
-9.97452,4,0.220115
-9.996339,5,0.223116
-14.957964,7,0.22919
-9.994133,4,0.232534
-14.997152,5,0.236192
-9.978682,5,0.239192
-9.993781,4,0.243192
-9.978496,3,0.246193
-9.996294,4,0.249194
-14.995089,5,0.25319
-14.984576,4,0.255191
-9.97866,4,0.259192
-9.973531,3,0.261191
-9.981035,5,0.265193
2.432522,8,0.363137
-14.980246,4,0.366204
-9.98477,6,0.371137
1.380431,8,0.474219
-9.998013,4,0.47927
-9.997545,3,0.481218
-9.99082,6,0.485218
-14.978019,5,0.490241
-14.98709,7,0.496239
-9.978912,3,0.499221
-9.991978,7,0.503222
-9.996862,5,0.507219
-9.978151,5,0.512246
-9.997325,4,0.515352
-9.992788,5,0.521302
-9.978349,3,0.527174
-19.987484,6,0.535176
-9.997524,3,0.538175
-9.971406,4,0.543208
-9.997257,3,0.546273
-19.998094,5,0.550175
-14.996703,6,0.554175
-9.997581,5,0.559289
-9.992838,3,0.56129
-9.977158,5,0.56529
-9.976381,3,0.568237
-9.978253,5,0.573269
-9.983364,4,0.576241
-9.979889,4,0.578272
-9.978655,3,0.581239
-9.992846,5,0.584271
-14.985351,7,0.59028
-9.994168,3,0.592271
-9.977598,4,0.595239
-9.995057,5,0.598274
-14.973478,8,0.605981
-9.978217,4,0.608971
-9.979054,2,0.609971
-9.997513,6,0.615003
-9.996866,4,0.618552
-2.635984,8,0.717211
-9.9826,4,0.7202
-14.976142,4,0.7232
-9.998143,3,0.726261
-9.991022,6,0.73026
-14.971906,6,0.735293
-9.973543,4,0.737293
-14.997959,5,0.741379
-9.978379,4,0.744292
-9.982941,3,0.747208
-9.99694,6,0.751246
-9.97879,3,0.753242
-9.995447,4,0.756222
-9.991896,4,0.760211
-14.973775,6,0.765307
-9.995934,6,0.76929
-9.968251,5,0.773298
-9.979054,2,0.77529
-9.979557,8,0.781216
-9.96588,4,0.784249
-9.998218,3,0.786215
-9.974817,4,0.790831
-14.994353,6,0.794214
-14.994752,6,0.799215
-14.977515,5,0.802215
-7.153803,8,0.900272
-9.974872,5,0.903272
-9.971579,4,0.906273
-9.982051,4,0.909272
-9.99034,4,0.913272
-9.99807,5,0.919346
-14.948767,4,0.92334
-9.974848,4,0.926313
-9.995339,7,0.933313
-19.98203,4,0.935348
-9.98061,3,0.937342
-9.996007,3,0.940345
-9.967093,6,0.944346
-9.997939,3,0.947136
-9.989763,5,0.950941
-14.994264,6,0.954942
-14.9797,5,0.958942
-9.979054,2,0.961165
-9.977657,3,0.963908
-9.982607,4,0.967637
-9.975137,6,0.971637
-14.979985,4,0.973638
-9.977294,3,0.976821
-9.998504,3,0.979808
-9.997765,3,0.982776
-9.996583,6,0.986803
-14.997801,5,0.991778
-9.997155,4,0.99581
-9.997072,4,0.99978
-9.99669,4,1.002779
-9.97639,3,1.004778
-14.991267,7,1.011778
-9.978964,4,1.015006
1.231708,8,1.142973
-9.978038,5,1.150063
-9.978767,3,1.154062
-9.997408,4,1.158012
-9.978118,3,1.161478
-14.959601,5,1.166993
-9.9877,5,1.170994
-9.981836,7,1.179329
-9.94314,6,1.187622
-14.974462,4,1.194336
-19.99623,7,1.207013
-14.956996,5,1.217016
-9.961226,5,1.222013
-9.984409,3,1.22679
-19.974409,6,1.234117
